sequence_identifier,Kingdom,Phylum,Class,Order,Family,Genus,
Otu621,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,
Otu622,Unclassified,,,,,,
Otu623,Unclassified,,,,,,
Otu624,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,,
Otu625,Unclassified,,,,,,
Otu626,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,
Otu627,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
Otu628,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Epulopiscium,
Otu629,Unclassified,,,,,,
Otu630,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,uncultured,
Otu631,Unclassified,,,,,,
Otu632,Unclassified,,,,,,
Otu633,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,,
Otu634,Unclassified,,,,,,
Otu635,Unclassified,,,,,,
Otu636,Unclassified,,,,,,
Otu637,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,Sva0081 sediment group,
Otu638,Bacteria,Firmicutes,Bacilli,Entomoplasmatales,Entomoplasmatales Incertae Sedis,Candidatus Hepatoplasma,
Otu639,Unclassified,,,,,,
Otu640,Bacteria,Proteobacteria,Gammaproteobacteria,uncultured,,,
Otu641,Unclassified,,,,,,
Otu642,Unclassified,,,,,,
Otu643,Unclassified,,,,,,
Otu644,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,,
Otu645,Unclassified,,,,,,
Otu646,Unclassified,,,,,,
Otu647,Unclassified,,,,,,
Otu648,Unclassified,,,,,,
Otu649,Unclassified,,,,,,
Otu650,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,,
Otu651,Unclassified,,,,,,
Otu652,Unclassified,,,,,,
Otu653,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1,
Otu654,Unclassified,,,,,,
Otu655,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Gemmobacter,
Otu656,Unclassified,,,,,,
Otu657,Unclassified,,,,,,
Otu658,Unclassified,,,,,,
Otu659,Unclassified,,,,,,
Otu660,Unclassified,,,,,,
Otu661,Unclassified,,,,,,
Otu662,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,
Otu663,Unclassified,,,,,,
Otu664,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,,
Otu665,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Parachlamydiaceae,Candidatus Protochlamydia,
Otu666,Bacteria,Myxococcota,Polyangia,Polyangiales,Polyangiaceae,Pajaroellobacter,
Otu667,Unclassified,,,,,,
Otu668,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1,
Otu669,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,,,
Otu670,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,
Otu671,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,
Otu672,Unclassified,,,,,,
Otu673,Unclassified,,,,,,
Otu674,Unclassified,,,,,,
Otu675,Unclassified,,,,,,
Otu676,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,,
Otu677,Unclassified,,,,,,
Otu678,Unclassified,,,,,,
Otu679,Unclassified,,,,,,
Otu680,Unclassified,,,,,,
Otu681,Unclassified,,,,,,
Otu682,Unclassified,,,,,,
Otu683,Unclassified,,,,,,
Otu684,Bacteria,Firmicutes,,,,,
Otu685,Unclassified,,,,,,
Otu686,Unclassified,,,,,,
Otu687,Unclassified,,,,,,
Otu688,Unclassified,,,,,,
Otu689,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,
Otu690,Unclassified,,,,,,
Otu691,Unclassified,,,,,,
Otu692,Unclassified,,,,,,
Otu693,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,
Otu694,Unclassified,,,,,,
Otu695,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Epulopiscium,
Otu696,Unclassified,,,,,,
Otu697,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,uncultured,
Otu698,Bacteria,Bdellovibrionota,Oligoflexia,Oligoflexales,uncultured,,
Otu699,Unclassified,,,,,,
Otu700,Unclassified,,,,,,
Otu701,Unclassified,,,,,,
Otu702,Unclassified,,,,,,
Otu703,Unclassified,,,,,,
Otu704,Unclassified,,,,,,
Otu705,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Plesiomonas,
Otu706,Unclassified,,,,,,
Otu707,Unclassified,,,,,,
Otu708,Unclassified,,,,,,
Otu709,Unclassified,,,,,,
Otu710,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,,
Otu711,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,
Otu712,Unclassified,,,,,,
Otu713,Bacteria,Firmicutes,Clostridia,,,,
Otu714,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Plesiomonas,
Otu715,Unclassified,,,,,,
Otu716,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,
Otu717,Unclassified,,,,,,
Otu718,Unclassified,,,,,,
Otu719,Unclassified,,,,,,
Otu720,Unclassified,,,,,,
Otu721,Unclassified,,,,,,
Otu722,Unclassified,,,,,,
Otu723,Unclassified,,,,,,
Otu724,Unclassified,,,,,,
Otu725,Unclassified,,,,,,
Otu726,Unclassified,,,,,,
Otu727,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,
Otu728,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,
Otu729,Unclassified,,,,,,
Otu730,Unclassified,,,,,,
Otu731,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Amaricoccus,
Otu732,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,
Otu733,Unclassified,,,,,,
Otu734,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
Otu735,Unclassified,,,,,,
Otu736,Unclassified,,,,,,
Otu737,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Epulopiscium,
Otu738,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,uncultured,,
Otu739,Unclassified,,,,,,
Otu740,Unclassified,,,,,,
Otu741,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,Atopobiaceae,Atopobium,
Otu742,Unclassified,,,,,,
Otu743,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,
Otu744,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Hathewaya,
Otu745,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Sulfuritalea,
Otu746,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,,,
Otu747,Unclassified,,,,,,
Otu748,Unclassified,,,,,,
Otu749,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Simkaniaceae,,
Otu750,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,,,
Otu751,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1,
Otu752,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,,
Otu753,Unclassified,,,,,,
Otu754,Unclassified,,,,,,
Otu755,Unclassified,,,,,,
Otu756,Unclassified,,,,,,
Otu757,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Blastopirellula,
Otu758,Unclassified,,,,,,
Otu759,Unclassified,,,,,,
Otu760,Unclassified,,,,,,
Otu761,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,
Otu762,Unclassified,,,,,,
Otu763,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,
Otu764,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,
Otu765,Unclassified,,,,,,
Otu766,Unclassified,,,,,,
Otu767,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,,
Otu768,Unclassified,,,,,,
Otu769,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Paraclostridium,
Otu770,Bacteria,MBNT15,,,,,
Otu771,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,,
Otu772,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,
Otu773,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,
Otu774,Unclassified,,,,,,
Otu775,Unclassified,,,,,,
Otu776,Unclassified,,,,,,
Otu777,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,,
Otu778,Unclassified,,,,,,
Otu779,Bacteria,Proteobacteria,Alphaproteobacteria,Puniceispirillales,Puniceispirillales Incertae Sedis,Constrictibacter,
Otu780,Unclassified,,,,,,
Otu781,Unclassified,,,,,,
Otu782,Unclassified,,,,,,
Otu783,Unclassified,,,,,,
Otu784,Unclassified,,,,,,
Otu785,Bacteria,Firmicutes,Clostridia,,,,
Otu786,Unclassified,,,,,,
Otu787,Unclassified,,,,,,
Otu788,Bacteria,,,,,,
Otu789,Unclassified,,,,,,
Otu790,Unclassified,,,,,,
Otu791,Unclassified,,,,,,
Otu792,Unclassified,,,,,,
Otu793,Unclassified,,,,,,
Otu794,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1,
Otu795,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,
Otu796,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,
Otu797,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Faecalibacterium,
Otu798,Unclassified,,,,,,
Otu799,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Crenothrix,
Otu800,Unclassified,,,,,,
Otu801,Unclassified,,,,,,
Otu802,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,
Otu803,Unclassified,,,,,,
Otu804,Bacteria,Firmicutes,Bacilli,Staphylococcales,Staphylococcaceae,Staphylococcus,
Otu805,Unclassified,,,,,,
Otu806,Unclassified,,,,,,
Otu807,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,
Otu808,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,,
Otu809,Unclassified,,,,,,
Otu810,Unclassified,,,,,,
Otu811,Bacteria,Actinobacteriota,Actinobacteria,Kineosporiales,Kineosporiaceae,Quadrisphaera,
Otu812,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Paraclostridium,
Otu813,Unclassified,,,,,,
Otu814,Unclassified,,,,,,
Otu815,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,,
Otu816,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Epulopiscium,
Otu817,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia,
Otu818,Unclassified,,,,,,
Otu819,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,
Otu820,Unclassified,,,,,,
Otu821,Unclassified,,,,,,
Otu822,Bacteria,Elusimicrobiota,Lineage IIa,,,,
Otu823,Unclassified,,,,,,
Otu824,Unclassified,,,,,,
Otu825,Unclassified,,,,,,
Otu826,Unclassified,,,,,,
Otu827,Unclassified,,,,,,
Otu828,Unclassified,,,,,,
Otu829,Unclassified,,,,,,
Otu830,Unclassified,,,,,,
Otu831,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,
Otu832,Unclassified,,,,,,
Otu833,Unclassified,,,,,,
Otu834,Unclassified,,,,,,
Otu835,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,SC-I-84,,
Otu836,Unclassified,,,,,,
Otu837,Unclassified,,,,,,
Otu838,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,,,
Otu839,Unclassified,,,,,,
Otu840,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylocaldum,
Otu841,Unclassified,,,,,,
Otu842,Unclassified,,,,,,
Otu843,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,,,
Otu844,Unclassified,,,,,,
Otu845,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
Otu846,Unclassified,,,,,,
Otu847,Unclassified,,,,,,
Otu848,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelotrichaceae,Turicibacter,
Otu849,Unclassified,,,,,,
Otu850,Unclassified,,,,,,
Otu851,Unclassified,,,,,,
Otu852,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,
Otu853,Unclassified,,,,,,
Otu854,Unclassified,,,,,,
Otu855,Unclassified,,,,,,
Otu856,Unclassified,,,,,,
Otu857,Bacteria,Actinobacteriota,Thermoleophilia,Gaiellales,uncultured,,
Otu858,Unclassified,,,,,,
Otu859,Unclassified,,,,,,
Otu860,Unclassified,,,,,,
Otu861,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1,
Otu862,Unclassified,,,,,,
Otu863,Unclassified,,,,,,
Otu864,Unclassified,,,,,,
Otu865,Unclassified,,,,,,
Otu866,Unclassified,,,,,,
Otu867,Unclassified,,,,,,
Otu868,Unclassified,,,,,,
Otu869,Unclassified,,,,,,
Otu870,Unclassified,,,,,,
Otu871,Bacteria,Deinococcota,Deinococci,Deinococcales,Trueperaceae,Truepera,
Otu872,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,,
Otu873,Unclassified,,,,,,
Otu874,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus,
Otu875,Unclassified,,,,,,
Otu876,Unclassified,,,,,,
Otu877,Unclassified,,,,,,
Otu878,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 1,
Otu879,Unclassified,,,,,,
Otu880,Unclassified,,,,,,
Otu881,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Epulopiscium,
Otu882,Bacteria,,,,,,
Otu883,Unclassified,,,,,,
Otu884,Unclassified,,,,,,
Otu885,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Prosthecobacter,
Otu886,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Erwinia,
Otu887,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,
Otu888,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,
Otu889,Unclassified,,,,,,
Otu890,Unclassified,,,,,,
Otu891,Bacteria,Chloroflexi,JG30-KF-CM66,,,,
Otu892,Unclassified,,,,,,
Otu893,Unclassified,,,,,,
Otu894,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,,
Otu895,Unclassified,,,,,,
Otu896,Unclassified,,,,,,
Otu897,Unclassified,,,,,,
Otu898,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubellimicrobium,
Otu899,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Halolactibacillus,
Otu900,Unclassified,,,,,,
Otu901,Unclassified,,,,,,
Otu902,Unclassified,,,,,,
Otu903,Unclassified,,,,,,
Otu904,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,,
Otu905,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,
Otu906,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,,
Otu907,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,
Otu908,Bacteria,NB1-j,,,,,
Otu909,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Epulopiscium,
Otu910,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,
Otu911,Unclassified,,,,,,
Otu912,Unclassified,,,,,,
Otu913,Unclassified,,,,,,
Otu914,Unclassified,,,,,,
Otu915,Unclassified,,,,,,
Otu916,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,
Otu917,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,
Otu918,Unclassified,,,,,,
Otu919,Unclassified,,,,,,
Otu920,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
Otu921,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,hgcI clade,
Otu922,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,,
Otu923,Unclassified,,,,,,
Otu924,Unclassified,,,,,,
Otu925,Unclassified,,,,,,
Otu926,Bacteria,Chloroflexi,Dehalococcoidia,GIF9,,,
Otu927,Unclassified,,,,,,
Otu928,Unclassified,,,,,,
Otu929,Unclassified,,,,,,
Otu930,Unclassified,,,,,,
Otu931,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,,
Otu932,Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Candidatus Berkiella,
Otu933,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,Cryomorpha,
Otu934,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,
Otu935,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,
Otu936,Unclassified,,,,,,
Otu937,Unclassified,,,,,,
Otu938,Unclassified,,,,,,
Otu939,Unclassified,,,,,,
Otu940,Unclassified,,,,,,
Otu941,Unclassified,,,,,,
Otu942,Unclassified,,,,,,
Otu943,Unclassified,,,,,,
Otu944,Unclassified,,,,,,
Otu945,Unclassified,,,,,,
Otu946,Unclassified,,,,,,
Otu947,Unclassified,,,,,,
Otu948,Unclassified,,,,,,
Otu949,Unclassified,,,,,,
Otu950,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,Defluviicoccaceae,Defluviicoccus,
Otu951,Unclassified,,,,,,
Otu952,Unclassified,,,,,,
Otu953,Unclassified,,,,,,
Otu954,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,,
Otu955,Unclassified,,,,,,
Otu956,Unclassified,,,,,,
Otu957,Unclassified,,,,,,
Otu958,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,
Otu959,Unclassified,,,,,,
Otu960,Unclassified,,,,,,
Otu961,Unclassified,,,,,,
Otu962,Unclassified,,,,,,
Otu963,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
Otu964,Unclassified,,,,,,
Otu965,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Hydrogenophilaceae,Hydrogenophilus,
Otu966,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,,
Otu967,Unclassified,,,,,,
Otu968,Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,
Otu969,Unclassified,,,,,,
Otu970,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,,,
Otu971,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Pleomorphomonadaceae,,
Otu972,Unclassified,,,,,,
Otu973,Bacteria,Gemmatimonadota,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Roseisolibacter,
Otu974,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,,
Otu975,Unclassified,,,,,,
Otu976,Bacteria,Verrucomicrobiota,Omnitrophia,Omnitrophales,Omnitrophaceae,Candidatus Omnitrophus,
Otu977,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,uncultured,,
Otu978,Unclassified,,,,,,
Otu979,Unclassified,,,,,,
Otu980,Unclassified,,,,,,
Otu981,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,,
Otu982,Unclassified,,,,,,
Otu983,Unclassified,,,,,,
Otu984,Unclassified,,,,,,
Otu985,Unclassified,,,,,,
Otu986,Unclassified,,,,,,
Otu987,Bacteria,Myxococcota,bacteriap25,,,,
Otu988,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria,
Otu989,Unclassified,,,,,,
Otu990,Unclassified,,,,,,
Otu991,Unclassified,,,,,,
Otu992,Unclassified,,,,,,
Otu993,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,uncultured,
Otu994,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,Syntrophobacter,
Otu995,Unclassified,,,,,,
Otu996,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,
Otu997,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,
Otu998,Unclassified,,,,,,
Otu999,Unclassified,,,,,,
Otu1000,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Demequinaceae,,
Otu1001,Bacteria,Gemmatimonadota,S0134 terrestrial group,,,,
Otu1002,Unclassified,,,,,,
Otu1003,Unclassified,,,,,,
Otu1004,Bacteria,Cyanobacteria,Cyanobacteriia,Chloroplast,,,
Otu1005,Unclassified,,,,,,
Otu1006,Unclassified,,,,,,
Otu1007,Unclassified,,,,,,
Otu1008,Unclassified,,,,,,
Otu1009,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,
Otu1010,Unclassified,,,,,,
Otu1011,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,
Otu1012,Unclassified,,,,,,
Otu1013,Unclassified,,,,,,
Otu1014,Unclassified,,,,,,
Otu1015,Unclassified,,,,,,
Otu1016,Unclassified,,,,,,
Otu1017,Unclassified,,,,,,
Otu1018,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Ensifer,
Otu1019,Unclassified,,,,,,
Otu1020,Unclassified,,,,,,
Otu1021,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Anaerovoracaceae,Anaerovorax,
Otu1022,Bacteria,Proteobacteria,Gammaproteobacteria,Coxiellales,Coxiellaceae,Coxiella,
Otu1023,Unclassified,,,,,,
Otu1024,Unclassified,,,,,,
Otu1025,Unclassified,,,,,,
Otu1026,Unclassified,,,,,,
Otu1027,Bacteria,Actinobacteriota,Actinobacteria,PeM15,,,
Otu1028,Unclassified,,,,,,
Otu1029,Bacteria,Firmicutes,Clostridia,Clostridia UCG-014,,,
Otu1030,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,Terrimicrobiaceae,Terrimicrobium,
Otu1031,Unclassified,,,,,,
Otu1032,Unclassified,,,,,,
Otu1033,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,uncultured,
Otu1034,Unclassified,,,,,,
Otu1035,Unclassified,,,,,,
Otu1036,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
Otu1037,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Veillonellaceae,Veillonella,
Otu1038,Bacteria,Dependentiae,Babeliae,Babeliales,Babeliaceae,,
Otu1039,Unclassified,,,,,,
Otu1040,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,
Otu1041,Unclassified,,,,,,
Otu1042,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,
Otu1043,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,,
Otu1044,Unclassified,,,,,,
Otu1045,Unclassified,,,,,,
Otu1046,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,,
Otu1047,Unclassified,,,,,,
Otu1048,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,,
Otu1049,Unclassified,,,,,,
Otu1050,Unclassified,,,,,,
Otu1051,Unclassified,,,,,,
Otu1052,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methyloligellaceae,uncultured,
Otu1053,Unclassified,,,,,,
Otu1054,Unclassified,,,,,,
Otu1055,Unclassified,,,,,,
Otu1056,Bacteria,Proteobacteria,Alphaproteobacteria,,,,
Otu1057,Unclassified,,,,,,
Otu1058,Unclassified,,,,,,
Otu1059,Unclassified,,,,,,
Otu1060,Unclassified,,,,,,
Otu1061,Unclassified,,,,,,
Otu1062,Unclassified,,,,,,
Otu1063,Unclassified,,,,,,
Otu1064,Unclassified,,,,,,
Otu1065,Unclassified,,,,,,
Otu1066,Unclassified,,,,,,
Otu1067,Unclassified,,,,,,
Otu1068,Unclassified,,,,,,
Otu1069,Unclassified,,,,,,
Otu1070,Unclassified,,,,,,
Otu1071,Unclassified,,,,,,
Otu1072,Unclassified,,,,,,
Otu1073,Unclassified,,,,,,
Otu1074,Unclassified,,,,,,
Otu1075,Unclassified,,,,,,
Otu1076,Unclassified,,,,,,
Otu1077,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Cellulomonadaceae,Cellulomonas,
Otu1078,Unclassified,,,,,,
Otu1079,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
Otu1080,Unclassified,,,,,,
Otu1081,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,,
Otu1082,Bacteria,Chloroflexi,Chloroflexia,Thermomicrobiales,JG30-KF-CM45,,
Otu1083,Unclassified,,,,,,
Otu1084,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Ellin6067,
Otu1085,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,,
Otu1086,Unclassified,,,,,,
Otu1087,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Rubritaleaceae,Luteolibacter,
Otu1088,Unclassified,,,,,,
Otu1089,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,
Otu1090,Unclassified,,,,,,
Otu1091,Bacteria,Cyanobacteria,Vampirivibrionia,Obscuribacterales,Obscuribacteraceae,,
